"timestamp","Real","RF","M5P","NN"
2018-01-01 07:00:00,25.576,30.524775044733,28.4140998603787,27.2301516785456
2018-01-01 08:00:00,25.02,29.5860658095238,29.260813531033,26.536362743492
2018-01-01 09:00:00,28.356,31.3996720952381,31.4961620609073,27.4788931178259
2018-01-01 10:00:00,26.688,30.3704063333333,31.2891442794078,27.3808384582028
2018-01-01 11:00:00,28.912,30.1147315934066,26.3757041024296,25.3602532677104
2018-01-01 12:00:00,33.36,29.690905,30.793784756378,26.9432685257124
2018-01-01 13:00:00,32.804,36.3123552608696,41.3271775635642,38.6128047459654
2018-01-01 14:00:00,34.472,31.9276096666667,33.8901742454673,32.993774053869
2018-01-01 15:00:00,33.36,34.2935904444444,33.7154630805825,29.2522167415584
2018-01-01 16:00:00,31.692,32.9016496666667,30.4363747806457,23.8750970757371
2018-01-01 17:00:00,31.136,31.0293983333333,28.580790932737,23.9009899875186
2018-01-01 18:00:00,24.464,34.7911486666667,25.6351407987363,25.4907495137479
2018-01-01 19:00:00,23.908,38.883925961039,25.7968592603749,27.4344016259951
2018-01-01 20:00:00,27.8,35.6468931818182,24.8619725365196,27.3461276739213
2018-01-02 07:00:00,34.472,31.4055237936508,28.6997907804937,39.4287245717814
2018-01-02 08:00:00,31,31.2720346666667,29.9746126315874,28.1267707455022
2018-01-02 09:00:00,26.5,31.3060313333333,30.5399806698464,28.547825195945
2018-01-02 10:00:00,20.016,29.0076558977689,30.4037043867896,26.3671688571897
2018-01-02 11:00:00,21.684,28.9115387164502,26.2221118179288,26.145155780576
2018-01-02 12:00:00,23.352,30.533093,26.4305852065361,25.9053605685685
2018-01-02 13:00:00,27.8,33.9440097647908,34.0585861247864,31.770138598317
2018-01-02 14:00:00,29.468,35.3212567171717,33.9139170084785,31.7592730527689
2018-01-02 15:00:00,27.244,33.0142014901395,30.7893254848947,25.6717634938022
2018-01-02 16:00:00,23.352,30.9768431568062,25.702673917889,21.4451625197923
2018-01-02 17:00:00,21,31.4193423333333,25.7506862677327,22.7169117452293
2018-01-02 18:00:00,31,36.2534979047619,24.6856535519287,24.1648626438843
2018-01-02 19:00:00,28.5,38.4906221832612,25.5358726823474,27.3593701428114
2018-01-02 20:00:00,31.5,37.9259198484848,24.3776865679941,27.4199257041448
2018-01-03 07:00:00,25,22.9232940591631,22.7844557542818,20.598949088433
2018-01-03 08:00:00,22,24.7791675627706,25.0958870407358,22.6792659318329
2018-01-03 09:00:00,30,28.5021505074555,27.8188272366274,25.7927818197818
2018-01-03 10:00:00,13.9,27.7176989220779,26.0943070498829,24.344312659665
2018-01-03 11:00:00,14.456,27.5631326926407,23.4937573914319,23.9432548605493
2018-01-03 12:00:00,15.568,27.991823025974,23.1989553634318,23.8073654364801
2018-01-03 13:00:00,16,29.8271967489177,25.661595535427,18.9850854910009
