"anyo","mes","dia","temp","maxtemp","mintemp","hum","wspd","wdir","wdire","presion","precip","fog","rain","snow"
"2001","03","22","17","22","12","65","11","236","SW","1015.43","0.0","0","0","0"
"2001","03","23","17","24","10","47","5","248","WSW","1010.94","0.0","0","0","0"
"2001","03","24","14","16","12","50","26","274","West","1007.00","0.0","0","1","0"
"2001","03","25","10","14","7","66","18","274","West","1008.57","0.0","0","1","0"
"2001","03","26","10","14","7","74","12","236","SW","1007.00","0.0","0","1","0"
"2001","03","27","8","14","3","77","5","222","SW","1012.55","0.0","1","0","0"
"2001","03","28","10","16","5","65","8","280","West","1015.26","0.0","0","0","0"
"2001","03","29","11","15","7","56","25","303","WNW","1015.53","0.0","0","1","0"
"2001","03","30","14","18","10","59","18","306","NW","1019.86","0.0","0","0","0"
"2001","03","31","16","22","9","50","6","97","East","1021.60","0.0","0","0","0"
"2001","04","01","17","22","12","33","8","156","SSE","1021.07","0.0","0","0","0"
"2001","04","02","14","19","9","49","6","252","WSW","1019.43","0.0","0","0","0"
"2001","04","03","14","18","9","53","6","238","WSW","1019.71","0.0","0","0","0"
"2001","04","04","12","18","7","59","11","273","West","1020.73","0.0","0","0","0"
"2001","04","05","16","20","12","53","13","279","West","1023.93","0.0","0","0","0"
"2001","04","06","14","21","7","68","6","285","WNW","1022.70","0.0","0","0","0"
"2001","04","07","12","15","9","37","22","321","NW","1021.29","0.0","0","0","0"
"2001","04","08","12","18","6","42","9","342","NNW","1027.00","0.0","0","0","0"
"2001","04","09","14","22","6","30","4","316","NW","1027.14","0.0","0","0","0"
"2001","04","10","17","24","10","37","5","102","ESE","1024.57","0.0","0","0","0"
"2001","04","11","14","20","9","37","7","49","NE","1024.29","0.0","0","0","0"
"2001","04","12","12","20","4","35","7","65","ENE","1023.57","0.0","0","0","0"
"2001","04","13","14","19","9","27","10","86","East","1018.50","0.0","0","0","0"
"2001","04","14","14","20","7","36","11","93","East","1020.25","0.0","0","0","0"
"2001","04","15","15","23","7","30","5","263","West","1020.83","0.0","0","0","0"
"2001","04","16","18","24","11","39","7","270","West","1015.79","0.0","0","0","0"
"2001","04","17","14","20","9","49","7","143","SE","1011.07","0.0","0","1","0"
"2001","04","18","12","16","9","66","5","98","East","1012.00","0.0","0","1","0"
"2001","04","19","13","19","7","50","5","118","ESE","1008.07","0.0","0","1","0"
"2001","04","20","10","16","4","40","8","78","ENE","1011.29","0.0","0","0","0"
"2001","04","21","8","15","2","32","6","327","NNW","1015.93","0.0","0","0","0"
"2001","04","22","14","19","9","39","18","301","WNW","1011.09","0.0","0","0","0"
"2001","04","23","15","20","10","59","20","269","West","1011.64","0.0","0","0","0"
"2001","04","24","14","18","10","60","15","269","West","1014.15","0.0","0","0","0"
"2001","04","25","12","18","7","31","9","329","NNW","1021.29","0.0","0","0","0"
"2001","04","26","14","22","7","35","7","100","East","1020.46","0.0","0","0","0"
"2001","04","27","14","19","10","38","10","344","NNW","1018.21","0.0","0","0","0"
"2001","04","28","12","21","4","47","6","230","SW","1019.58","0.0","0","0","0"
"2001","04","29","15","19","11","53","9","247","WSW","1009.06","0.0","0","1","0"
"2001","04","30","8","13","4","40","20","325","NW","1008.29","0.0","0","0","0"
"2001","05","01","6","10","3","78","10","40","NE","1012.05","0.0","0","1","1"
"2001","05","02","8","12","3","76","5","183","South","1012.36","0.0","0","0","0"
"2001","05","03","10","14","6","56","3","98","East","1008.86","0.0","0","0","0"
"2001","05","04","12","16","7","51","7","13","NNE","1009.36","0.0","0","1","0"
"2001","05","05","11","16","7","42","3","52","NE","1013.92","0.0","0","0","0"
"2001","05","06","12","17","6","48","5","72","ENE","1015.43","0.0","0","0","0"
"2001","05","07","12","19","6","39","5","109","ESE","1017.43","0.0","0","0","0"
"2001","05","08","13","17","9","65","9","77","ENE","1016.25","0.0","0","1","0"
"2001","05","09","12","16","9","78","9","134","SE","1012.81","0.0","0","1","0"
"2001","05","10","13","18","8","61","5","262","West","1014.75","0.0","0","1","0"
"2001","05","11","16","22","9","43","5","243","WSW","1018.50","0.0","0","0","0"
"2001","05","12","17","23","11","46","7","210","SSW","1015.47","0.0","0","0","0"
"2001","05","13","14","18","10","49","10","263","West","1014.15","0.0","0","0","0"
"2001","05","14","13","15","11","66","12","267","West","1012.22","0.0","0","1","0"
"2001","05","15","16","19","12","66","11","257","WSW","1013.15","0.0","0","0","0"
"2001","05","16","16","23","10","55","9","259","West","1015.00","0.0","0","0","0"
"2001","05","17","18","25","12","44","6","277","West","1015.93","0.0","0","0","0"
"2001","05","18","20","24","16","48","11","92","East","1016.08","0.0","0","0","0"
"2001","05","19","16","19","13","71","6","90","East","1017.40","0.0","0","1","0"
"2001","05","20","18","23","14","57","7","216","SW","1017.59","0.0","0","1","0"
"2001","05","21","18","23","13","55","6","250","WSW","1015.29","0.0","0","1","0"
"2001","05","22","18","24","12","53","4","253","WSW","1016.21","0.0","0","0","0"
"2001","05","23","20","26","13","36","5","319","NW","1020.07","0.0","0","0","0"
"2001","05","24","21","27","15","41","6","282","WNW","1021.64","0.0","0","0","0"
"2001","05","25","22","29","15","41","4","317","NW","1020.50","0.0","0","0","0"
"2001","05","26","24","31","17","33","5","91","East","1020.64","0.0","0","0","0"
"2001","05","27","25","31","19","28","6","133","SE","1025.08","0.0","0","0","0"
"2001","05","28","26","34","19","31","4","139","SE","1026.64","0.0","0","0","0"
"2001","05","29","28","34","21","30","5","153","SSE","1023.00","0.0","0","0","0"
"2001","05","30","26","34","19","25","3","178","South","1018.92","0.0","0","0","0"
"2001","05","31","28","35","21","26","5","197","SSW","1017.43","0.0","0","0","0"
"2001","06","01","28","34","21","34","7","67","ENE","1017.85","0.0","0","0","0"
"2001","06","02","26","33","19","32","8","335","NNW","1017.14","0.0","0","0","0"
"2001","06","03","26","34","19","24","8","267","West","1018.33","0.0","0","0","0"
"2001","06","04","24","31","18","22","8","259","West","1022.07","0.0","0","0","0"
"2001","06","05","24","30","17","29","6","235","SW","1021.40","0.0","0","0","0"
"2001","06","06","22","29","16","28","6","263","West","1020.50","0.0","0","0","0"
"2001","06","07","24","32","17","36","7","195","SSW","1017.57","0.0","0","0","0"
"2001","06","08","24","30","17","27","11","257","WSW","1012.80","0.0","0","0","0"
"2001","06","09","18","21","15","60","17","276","West","1013.07","0.0","0","1","0"
"2001","06","10","18","22","13","48","7","81","East","1015.77","0.0","0","0","0"
"2001","06","11","18","26","10","38","8","85","East","1021.75","0.0","0","0","0"
"2001","06","12","22","27","16","38","8","206","SSW","1019.36","0.0","0","0","0"
"2001","06","13","22","29","14","26","7","245","WSW","1017.21","0.0","0","0","0"
"2001","06","14","25","32","18","29","9","273","West","1016.57","0.0","0","0","0"
"2001","06","15","22","27","17","28","17","271","West","1014.57","0.0","0","0","0"
"2001","06","16","18","24","13","36","16","328","NNW","1019.50","0.0","0","0","0"
"2001","06","17","20","26","14","36","4","110","ESE","1022.25","0.0","0","0","0"
"2001","06","18","20","29","12","34","9","93","East","1023.79","0.0","0","0","0"
"2001","06","19","25","32","18","31","6","120","ESE","1020.86","0.0","0","0","0"
"2001","06","20","26","35","18","34","5","144","SE","1018.64","0.0","0","0","0"
"2001","06","21","29","38","20","23","3","49","NE","1017.47","0.0","0","0","0"
"2001","06","22","30","37","23","27","8","126","SE","1016.50","0.0","0","0","0"
"2001","06","23","30","37","22","28","9","268","West","1015.64","0.0","0","0","0"
"2001","06","24","30","37","23","28","7","182","South","1017.86","0.0","0","0","0"
"2001","06","25","30","36","23","29","7","250","WSW","1020.14","0.0","0","0","0"
"2001","06","26","26","33","20","28","15","271","West","1019.21","0.0","0","0","0"
"2001","06","27","22","27","17","37","16","316","NW","1018.79","0.0","0","0","0"
"2001","06","28","23","30","16","40","6","149","SSE","1022.94","0.0","0","0","0"
"2001","06","29","26","34","18","28","5","219","SW","1021.73","0.0","0","0","0"
"2001","06","30","28","36","21","30","6","131","SE","1023.00","0.0","0","0","0"
"2001","07","01","30","36","23","28","7","162","SSE","1023.92","0.0","0","0","0"
"2001","07","02","30","37","24","33","8","114","ESE","1021.20","0.0","0","0","0"
"2001","07","03","28","35","22","33","5","78","ENE","1017.64","0.0","0","0","0"
"2001","07","04","24","27","20","51","17","286","WNW","1008.79","0.0","0","0","0"
"2001","07","05","18","25","11","49","9","281","West","1009.71","0.0","0","0","0"
"2001","07","06","19","24","14","57","15","291","WNW","1013.29","0.0","0","1","0"
"2001","07","07","22","28","15","41","6","246","WSW","1019.53","0.0","0","0","0"
"2001","07","08","24","29","18","41","8","260","West","1017.77","0.0","0","0","0"
"2001","07","09","21","26","16","55","6","35","NE","1016.46","0.0","0","1","0"
"2001","07","10","24","32","17","41","6","159","SSE","1019.33","0.0","0","0","0"
"2001","07","11","28","36","21","31","6","216","SW","1020.57","0.0","0","0","0"
"2001","07","12","28","35","22","34","6","72","ENE","1019.69","0.0","0","0","0"
"2001","07","13","28","34","22","29","7","292","WNW","1016.62","0.0","0","0","0"
"2001","07","14","24","30","18","47","12","284","WNW","1013.14","0.0","0","0","0"
"2001","07","15","21","25","17","49","7","116","ESE","1017.31","0.0","0","0","0"
"2001","07","16","22","28","17","35","8","6","North","1015.07","0.0","0","0","0"
"2001","07","17","24","31","16","44","12","296","WNW","1016.00","0.0","0","0","0"
"2001","07","18","20","25","15","45","17","324","NW","1013.93","0.0","0","0","0"
"2001","07","19","18","23","12","43","19","325","NW","1017.57","0.0","0","0","0"
"2001","07","20","22","29","15","33","5","143","SE","1021.86","0.0","0","0","0"
"2001","07","21","24","32","16","38","6","120","ESE","1019.62","0.0","0","0","0"
"2001","07","22","28","35","21","25","8","171","South","1016.69","0.0","0","0","0"
"2001","07","23","29","36","22","33","8","208","SSW","1013.80","0.0","0","0","0"
"2001","07","24","26","33","19","26","10","248","WSW","1013.93","0.0","0","0","0"
"2001","07","25","26","34","18","41","5","119","ESE","1016.23","0.0","0","0","0"
"2001","07","26","28","34","21","29","6","267","West","1016.07","0.0","0","0","0"
"2001","07","27","25","31","19","44","7","266","West","1016.00","0.0","0","0","0"
"2001","07","28","26","33","19","34","6","203","SSW","1016.64","0.0","0","0","0"
"2001","07","29","26","32","21","50","11","135","SE","1019.54","0.0","0","0","0"
"2001","07","30","26","32","19","34","7","50","NE","1022.60","0.0","0","0","0"
"2001","07","31","30","35","24","38","14","125","SE","1020.86","0.0","0","0","0"
"2001","08","01","28","34","22","35","8","207","SSW","1018.69","0.0","0","0","0"
"2001","08","02","25","30","20","52","15","268","West","1017.71","0.0","0","0","0"
"2001","08","03","25","30","20","39","9","347","NNW","1018.30","0.0","0","0","0"
"2001","08","04","25","32","18","36","6","54","NE","1021.21","0.0","0","0","0"
"2001","08","05","26","34","19","42","5","115","ESE","1023.71","0.0","0","0","0"
"2001","08","06","28","35","20","32","5","182","South","1023.71","0.0","0","0","0"
"2001","08","07","28","36","21","32","8","235","SW","1018.64","0.0","0","0","0"
"2001","08","08","26","32","20","38","8","284","WNW","1016.00","0.0","0","0","0"
"2001","08","09","25","32","18","31","6","350","North","1016.13","0.0","0","0","0"
"2001","08","10","26","33","18","50","8","84","East","1021.64","0.0","0","0","0"
"2001","08","11","26","34","18","39","7","31","NNE","1022.24","0.0","0","0","0"
"2001","08","12","28","35","22","44","6","174","South","1020.08","0.0","0","0","0"
"2001","08","13","28","35","22","42","8","176","South","1016.15","0.0","0","0","0"
"2001","08","14","27","34","20","47","8","184","South","1015.57","0.0","0","0","0"
"2001","08","15","26","32","20","49","8","256","WSW","1017.38","0.0","0","1","0"
"2001","08","16","24","30","18","37","11","266","West","1018.14","0.0","0","0","0"
"2001","08","17","23","29","17","40","9","256","WSW","1016.93","0.0","0","0","0"
"2001","08","18","23","29","17","52","14","263","West","1014.29","0.0","0","0","0"
"2001","08","19","22","28","17","35","11","274","West","1014.46","0.0","0","0","0"
"2001","08","20","24","31","18","43","4","172","South","1017.71","0.0","0","0","0"
"2001","08","21","27","35","19","38","6","217","SW","1018.47","0.0","0","0","0"
"2001","08","22","28","35","20","28","6","255","WSW","1020.14","0.0","0","0","0"
"2001","08","23","28","36","20","36","4","251","WSW","1018.71","0.0","0","0","0"
"2001","08","24","29","37","21","28","4","231","SW","1016.93","0.0","0","0","0"
"2001","08","25","28","32","24","32","8","245","WSW","1017.40","0.0","0","0","0"
"2001","08","26","27","31","23","49","10","101","East","1017.20","0.0","0","0","0"
"2001","08","27","28","33","22","39","10","149","SSE","1017.14","0.0","0","0","0"
"2001","08","28","26","31","21","41","8","270","West","1015.57","0.0","0","0","0"
"2001","08","29","22","28","17","60","12","272","West","1016.29","0.0","0","0","0"
"2001","08","30","23","29","17","48","5","259","West","1017.00","0.0","0","0","0"
"2001","08","31","23","29","17","54","8","99","East","1017.43","0.0","0","0","0"
"2001","09","01","22","29","15","42","11","91","East","1017.07","0.0","0","0","0"
"2001","09","02","24","30","17","41","7","8","North","1016.40","0.0","0","0","0"
"2001","09","03","26","32","19","61","8","155","SSE","1015.85","0.0","0","0","0"
"2001","09","04","26","33","19","56","7","186","South","1017.71","0.0","0","0","0"
"2001","09","05","24","32","16","39","8","82","East","1018.64","0.0","0","0","0"
"2001","09","06","24","29","19","51","5","72","ENE","1016.21","0.0","0","0","0"
"2001","09","07","21","27","15","48","11","92","East","1020.77","0.0","0","0","0"
"2001","09","08","22","29","15","45","6","116","ESE","1021.14","0.0","0","0","0"
"2001","09","09","25","32","18","30","6","352","North","1017.38","0.0","0","0","0"
"2001","09","10","23","31","15","40","6","94","East","1016.54","0.0","0","0","0"
"2001","09","11","23","30","16","38","6","229","SW","1017.50","0.0","0","0","0"
"2001","09","12","24","30","17","33","7","213","SSW","1019.93","0.0","0","0","0"
"2001","09","13","24","31","17","32","5","254","WSW","1018.93","0.0","0","0","0"
"2001","09","14","24","29","19","33","8","343","NNW","1013.69","0.0","0","0","0"
"2001","09","15","22","30","13","42","8","96","East","1017.43","0.0","0","0","0"
"2001","09","16","24","32","16","38","5","175","South","1019.15","0.0","0","0","0"
"2001","09","17","22","29","15","34","4","137","SE","1014.93","0.0","0","0","0"
"2001","09","18","17","23","11","42","9","117","ESE","1015.15","0.0","0","0","0"
"2001","09","19","18","25","12","50","7","215","SW","1013.79","0.0","0","0","0"
"2001","09","20","20","26","15","61","6","215","SW","1015.69","0.0","0","0","0"
"2001","09","21","21","25","17","66","7","168","SSE","1014.33","0.0","0","1","0"
"2001","09","22","18","22","15","75","10","201","SSW","1007.20","0.0","0","1","0"
"2001","09","23","15","16","14","86","18","275","West","1006.92","0.0","0","1","0"
"2001","09","24","18","21","14","65","14","271","West","1014.77","0.0","0","0","0"
"2001","09","25","16","21","12","48","7","301","WNW","1021.15","0.0","0","0","0"
"2001","09","26","18","23","12","45","4","182","South","1021.43","0.0","0","0","0"
"2001","09","27","18","24","11","54","5","119","ESE","1017.85","0.0","0","0","0"
"2001","09","28","18","19","16","81","10","218","SW","1013.64","0.0","0","1","0"
"2001","09","29","17","21","13","71","2","231","SW","1015.43","0.0","0","1","0"
"2001","09","30","17","22","12","77","5","182","South","1019.88","0.0","1","0","0"
"2001","10","01","20","25","14","62","5","259","West","1021.43","0.0","0","0","0"
"2001","10","02","20","26","15","59","6","190","South","1017.71","0.0","0","0","0"
"2001","10","03","20","23","16","66","11","272","West","1017.92","0.0","0","0","0"
"2001","10","04","19","25","13","51","5","252","WSW","1016.64","0.0","0","0","0"
"2001","10","05","18","21","16","58","12","271","West","1015.75","0.0","0","1","0"
"2001","10","06","16","18","14","92","8","226","SW","1014.80","0.0","1","1","0"
"2001","10","07","14","18","11","68","17","273","West","1018.85","0.0","0","0","0"
"2001","10","08","15","17","13","80","14","262","West","1016.86","0.0","0","1","0"
"2001","10","09","14","18","9","69","6","63","ENE","1015.36","0.0","0","0","0"
"2001","10","10","16","21","12","53","11","94","East","1021.29","0.0","0","0","0"
"2001","10","11","20","25","15","63","14","131","SE","1024.25","0.0","0","0","0"
"2001","10","12","16","20","13","81","15","142","SE","1022.75","0.0","0","1","0"
"2001","10","13","16","19","12","78","2","190","South","1024.46","0.0","0","0","0"
"2001","10","14","16","20","11","70","3","206","SSW","1022.38","0.0","1","0","0"
"2001","10","15","16","20","13","75","8","258","WSW","1021.57","0.0","0","0","0"
"2001","10","16","18","23","13","64","4","150","SSE","1023.57","0.0","0","0","0"
"2001","10","17","18","21","13","76","11","176","South","1017.71","0.0","0","1","0"
"2001","10","18","16","19","13","89","8","200","SSW","1014.67","0.0","0","1","0"
"2001","10","19","14","17","12","89","16","225","SW","1006.43","0.0","0","1","0"
"2001","10","20","12","15","9","82","13","254","WSW","1007.13","0.0","0","1","0"
"2001","10","21","16","17","14","71","15","262","West","1017.50","0.0","0","0","0"
"2001","10","22","16","20","12","73","10","222","SW","1017.54","0.0","0","0","0"
"2001","10","23","15","18","12","75","12","275","West","1023.85","0.0","0","0","0"
"2001","10","24","14","19","9","63","4","107","ESE","1029.86","0.0","0","0","0"
"2001","10","25","14","19","10","77","6","82","East","1027.69","0.0","0","0","0"
"2001","10","26","16","20","11","71","4","188","South","1021.92","0.0","0","0","0"
