"timestamp","Real","RF","M5P","NN"
2018-01-01 07:00:00,29,33.207666,43.4976722811716,32.4741046592096
2018-01-01 08:00:00,26.5,36.3628022857143,43.2946178467498,32.8417127515577
2018-01-01 09:00:00,20.5,34.8501616666667,43.6404838866152,32.3937201757034
2018-01-01 10:00:00,21.128,34.547229,43.5190687756083,32.0863143308658
2018-01-01 11:00:00,23.908,30.0407522380952,44.0363301754428,30.3964076509695
2018-01-01 12:00:00,27.8,30.8112146190476,30.8027485471807,27.1719031496111
2018-01-01 13:00:00,28.912,31.367112,30.4929880570275,30.6225969836474
2018-01-01 14:00:00,31.136,30.7418933333333,29.1511522556807,26.3842219673299
2018-01-01 15:00:00,30.024,29.8961493333333,28.7394195360604,27.8178978377992
2018-01-01 16:00:00,26.688,29.541786,29.0514174686837,28.6136695930345
2018-01-01 17:00:00,23,31.0000473333333,29.3546694136341,30.6746108252536
2018-01-01 18:00:00,23.5,34.9063427101449,33.6990730779564,32.2180749518548
2018-01-01 19:00:00,28,39.319201,34.8451566544422,33.0412137682607
2018-01-01 20:00:00,32,37.0019253333333,34.3143369820324,33.5082628066547
2018-01-02 07:00:00,32,34.3169646666666,31.5167926196043,13.7972132923436
2018-01-02 08:00:00,43,38.8339353333333,30.0135449304125,32.5538904153071
2018-01-02 09:00:00,41,38.1891886666667,30.4132248373699,32.5046904524218
2018-01-02 10:00:00,35.5,31.7941761656315,27.6350332859588,31.7866163611364
2018-01-02 11:00:00,9.38,31.0640052608696,28.9831490585215,29.3746608903259
2018-01-02 12:00:00,28,29.7227332380952,26.9165770643005,25.7453231913719
2018-01-02 13:00:00,26.5,30.455405,32.4972886892004,25.3452492735689
2018-01-02 14:00:00,29,31.0854296666667,33.5622066483205,25.7549188847341
2018-01-02 15:00:00,25,29.3334733333333,27.9618313142839,27.1749600185932
2018-01-02 16:00:00,26.5,29.5959023333333,27.9152616258782,28.7575452604929
2018-01-02 17:00:00,31,32.1742123333333,33.3962002707873,30.9133580721486
2018-01-02 18:00:00,39,41.153526,35.2074624685708,29.4065055791252
2018-01-02 19:00:00,37,43.003991,36.9752023271746,34.2148006148644
2018-01-02 20:00:00,41,45.0719313333333,36.2232338278956,31.7578715714219
2018-01-03 07:00:00,35.5,31.1003566666667,21.4584251642095,25.9228718945853
2018-01-03 08:00:00,32,31.409372,26.8665441665728,19.5716036997167
2018-01-03 09:00:00,36.5,34.704215,41.3636949841665,28.2670167421331
2018-01-03 10:00:00,29.5,29.741442,22.2454625123964,26.3596739381497
2018-01-03 11:00:00,25,30.7814176666667,21.8718175370344,21.4781552644359
2018-01-03 12:00:00,27.5,30.0935226666667,22.1754471225687,18.4895730968274
2018-01-03 13:00:00,26.5,31.000244,30.4905386806219,18.13875698373
2018-01-03 14:00:00,23.5,32.3149503333333,32.2662395150475,20.5994074348095
2018-01-03 15:00:00,19.5,28.9789053333333,24.5842987639084,22.3532768636148
2018-01-03 16:00:00,23,30.4995863333333,24.9070740577772,25.0256105397365
2018-01-03 17:00:00,30,32.16686,32.402190120389,26.5053447149012
2018-01-03 18:00:00,34,42.5831683333333,35.6593640896293,31.4750944177997
2018-01-03 19:00:00,35.5,43.3938073333333,35.4247130475013,30.9628656455425
2018-01-03 20:00:00,38,55.229228,47.3762348846295,41.0287169615521
2018-01-04 07:00:00,23.5,32.8145546666667,22.3342134756614,26.0584979019972
2018-01-04 08:00:00,26.5,34.42154,22.6708271473482,27.5228469265011
2018-01-04 09:00:00,28,35.2206886666667,23.0516158033916,28.3101046612757
2018-01-04 10:00:00,29,32.5754396666667,23.7522560142957,23.9291108091776
2018-01-04 11:00:00,25.5,31.8575616666667,23.1556235118459,19.7536277687366
2018-01-04 12:00:00,25,30.8611945714286,24.1493674398286,17.9421504480144
2018-01-04 13:00:00,25,31.4629083333333,30.1644180460496,24.9347284364795
2018-01-04 14:00:00,26,32.5749146666667,30.2000070056202,21.796155213835
2018-01-04 15:00:00,21,29.1076086666666,24.6964788494554,23.6045426889241
2018-01-04 16:00:00,24,29.2364413333333,26.2519813495543,30.1322175833113
2018-01-04 17:00:00,25.5,30.8173563333333,31.7448447131993,31.3095884425267
2018-01-04 18:00:00,31,40.209425,34.8509272452672,29.9878499330257
2018-01-04 19:00:00,33,39.4452443333333,35.7306786726049,33.8973159502583
2018-01-04 20:00:00,32.5,38.6659356666667,33.6026965129859,29.3513393000011
2018-01-05 07:00:00,23,30.81239,25.0939771778504,31.8355472404713
2018-01-05 08:00:00,23.5,30.3763433333333,23.7677078513718,30.1907221681849
2018-01-05 09:00:00,29.5,30.2021976666667,23.6400229711217,31.2903058499804
2018-01-05 10:00:00,30,30.9937991111111,25.8000919130748,31.6488996819041
2018-01-05 11:00:00,27,29.634677,25.8596404317868,24.538240951354
2018-01-05 12:00:00,30,30.1274958095238,26.5774894879919,26.5513422055172
2018-01-05 13:00:00,30,32.8925233333333,29.4666796298771,25.744161322727
2018-01-05 14:00:00,27,29.6855855555556,27.8425123000151,25.9779787197092
2018-01-05 15:00:00,23.5,28.6441375555555,27.7665558613842,28.2284273198405
2018-01-05 16:00:00,29.5,28.280865,26.6326397535797,26.5694438568503
2018-01-05 17:00:00,35,30.4641863531087,33.5362365108166,31.7083846305054
2018-01-05 18:00:00,34.5,33.4304835503876,31.8688184283047,31.9234038950506
2018-01-05 19:00:00,36.5,35.2241293333333,33.4679324309351,36.5162120531064
2018-01-05 20:00:00,34,31.4610553333333,32.2029529548255,32.7781304804266
2018-01-06 07:00:00,38.364,34.876078,38.9951690907754,34.3473605428534
2018-01-06 08:00:00,37.252,34.1841513333333,35.2177898062324,32.5451799524034
2018-01-06 09:00:00,35.028,32.9394666666667,34.4844398032035,31.9873823389738
2018-01-06 10:00:00,33.36,33.5663413333333,35.2184359043497,30.8477463816072
2018-01-06 11:00:00,29.468,33.1866246666667,36.2057206352564,27.2743762642939
2018-01-06 12:00:00,24.5,32.8105682170543,38.4183672840975,26.6974189565547
2018-01-06 13:00:00,30,32.1483718837209,33.254345357705,29.5935854865543
2018-01-06 14:00:00,31,32.0077142170543,32.7115974674579,31.3292865892926
2018-01-06 15:00:00,26,32.5235495503876,31.9831891130807,32.9535763996537
2018-01-06 16:00:00,24,31.1919572170543,38.516988747161,31.5903763066589
2018-01-06 17:00:00,27,31.3145555503876,35.5887950585947,38.102852143406
2018-01-06 18:00:00,32,32.2264982726098,35.106088986724,39.480939065383
2018-01-06 19:00:00,41,35.8354193333333,42.7295742258817,43.2489444522091
2018-01-06 20:00:00,40.5,35.1967266666667,34.5789336065411,39.7367386456831
2018-01-07 07:00:00,28.912,34.9866838095238,27.9719348872416,38.1689020808854
2018-01-07 08:00:00,27.8,35.5087946666667,42.2048277653484,35.1805690811048
2018-01-07 09:00:00,25.02,35.7793306666667,42.0781649098364,36.1060912666768
2018-01-07 10:00:00,22.5,36.4241233333333,34.4656441766197,37.4526854506956
2018-01-07 11:00:00,27.5,35.7412166666667,34.1034390905244,34.8554192178454
2018-01-07 12:00:00,24.5,30.5303363333333,37.5177051088392,30.2291184826048
2018-01-07 13:00:00,23,32.2122900884354,35.606844820803,25.4246268302333
2018-01-07 14:00:00,23.352,31.6522673333333,37.0001285936801,27.6202143878247
2018-01-07 15:00:00,24.464,29.3664403333333,36.2146238223654,26.0120222977205
2018-01-07 16:00:00,21.5,29.0844006666667,35.7734329914014,28.8575855774175
2018-01-07 17:00:00,22.5,30.9665282170543,36.7180155574304,34.8939407214688
